// 한 글자 이름 유의
//文	아야	1	QPN
//星	쇼우	1	QPN
//空	우츠호	1	QPN
//舞	마이	1	QPN
ﾊﾟﾙｽｨ	파르시	1	QPN
ﾅｽﾞｰﾘﾝ	나즈린	1	QPN
ﾏﾐｿﾞｳ	마미조	1	QPN
ﾒﾙﾗﾝ	메를랑	1	QPN
わかさぎ	와카사기	1	QPN
る~こと	루코토	1	QPN
ｵﾚﾝｼﾞ	오렌지	1	QPN
ﾄﾞﾚﾐｰ	도레미	1	QPN
ｸﾗｳﾝﾋﾟｰｽ	클라운피스	1	QPN
エタニティラルバ	이터니티 라바	1	QPN
ラルバ	라바	1	QPN
ネムノ	네무노	1	QPN
高麗野	코마노	1	QPN
矢田寺	야타데라	1	QPN
成美	나루미	1	QPN
爾子田	니시다	1	QPN
里乃	사토노	1	QPN
丁礼田	테이레이다	1	QPN
依神	요리가미	1	QPN
女苑	조온	1	QPN
総領娘宅	총령저택	1
月の都	달궁전	1
有頂天	유정천	1
表月面	달표면	1
灼熱跡	작열적	1
竜遣寮	용견로	1
血の池	피연못	1
竹林南	죽림남	1
鰻屋台	만옥태	1
竹林西	죽림서	1
筍の里	죽림촌	1
竹林東	죽림동	1
兎集落	토끼촌	1
森南部	숲남부	1
水楢木	수유목	1
魔界庁	마계청	1
途絶橋	두절교	1
森西部	숲서부	1
渡舟処	나룻터	1
是非曲	시비곡	1	QPN
最果て	세계끝	1
西行妖	사이교	1
素敵な神社	하쿠레이사	1	QPN
裏山道	뒷산길	1
裏手池	신사못	1
博麗神社	멋진신사	1
森東部	숲동부	1
玄武沢	현무못	1
蝦蟇池	산호수	1
桃園	도원	1
温泉街	온천가	1
霧の湖	안개호	1
湖の畔	호경계	1
無名丘	무명산	1
霧雨店	잡화점	1
魔法の森	마법의숲	1
守矢神社	모리야사	1
九天滝	구천용	1
三途川	삼도천	1
山樹海	산수해	1
華仙敷	카센집	1
森北部	숲북부	1
妖怪の山	요괴의산	1
迷い家	마요이	1
阿求館	아큐집	1
寺子屋	사자옥	1
月面	월면	1
八雲宅	현자집	1
裏山湖	뒷산호	1
指示行動	지시행동	1
防衛解除	방위해제	1
都市管理	도시관리	1
勢力情報	세력정보	1
能力一覧	능력일람	1
国庫入金	국고입금	1
奴隷市場	노예시장	1
領地探索	영지탐색	1
//ロード	로  드	1
委任時は自動	위임시는자동	1
強士官	강한사관	1
多能	다재능	1
武官	무관	1
軍師	군사	1
政務	정무	1
アイドル	아이돌	1
料理人	요리인	1
不問	불문	1
男性	남성	1
女性	여성	1
女双	여성(후타)	1
男双	남성(후타)	1
男娘双	오토코노코(후타)	1
男娘	오토코노코	1
男の娘	오토코노코	1
和名	일본식	1
洋風	서양식	1
中華	중화식	1
多    能	다재능	1
武    官	무관	1
軍    師	군사	1
政 務 官	정무관	1
料 理 人	요리인	1
男    性	남성	1
女    性	여성	1
男 の 娘	오토코노코	1
後戸国	후호국	1
ｻﾘｴﾙ	사리엘	1
ﾚﾐﾘｱ	레밀리아	1
ｽｶｰﾚｯﾄ	스칼렛	1
野に下る	하야한다	1
委任行動	위임행동	1
会いに行く	만나러간다	1
民の慰安	백성위안	1
春を売る	봄을판다	1
スキル習得	스킬을습득	1
士官を募る	사관을모집	1
お気に入り	마음에든다	1
夜這いする	요바이한다	1
能力表示	능력표시	1
関係一覧	관계일람	1
諸国訪問	제국방문	1
特別訓練	특별훈련	1
現在割引料金	현재할인요금	1
アイテム	  아이템	1
残行動回数	남은 행동	1
徴兵効率	징병효율	1
防衛倍率	방위배율	1
部隊編成	부대편성	1
囚えている	붙잡고 있는	1
囚われている	붙잡혀 있는	1
触手部屋	촉수의방	1
捕虜の調教	포로의조교	1
説得させる	설득시킨다	1
捕虜の扱い	포로의취급	1
地方へ派遣	지방에파견	1
婚姻の儀	혼인의식	1
手引させる	안내시킨다	1
仕官する	임관한다	1
旗揚げする	신세력시작	1
訓練する	훈련한다	1
謁見する	알현한다	1
ふたなり薬	후타나리약	1
他特徴	다른 특징	1
次期へ	다음턴	1
ﾃﾞｲﾘｰ	데일리	1
タトゥ	문신	1
囚えられている	붙잡혀 있는	1
娯楽担当	오락담당	1
闘技場	투기장	1
鉱山労働	광산노동	1
拠点巡回	거점순회	1
軍事広報	군사홍보	1
街の宣伝	거리선전	1
炊き出し	식사제공	1
ライブ	라이브	1
自動防衛	자동방위	1
傾城乱遊の記憶	미인들의 난폭한 유희의 기억	1
幻想郷大戦	환상향대전	1
妖精大戦争	요정대전쟁	1
妖精四国志	요정사국지	1
東方西欧録	동방서구록	1
悪の栄えた試し無し	악의 번창은 좌시할 수 없어	1
ゆかりんの野望	유카링의 야망	1
レミリアの野望	레밀리아의 야망	1
乱世編	난세편	1
幻想狂騒曲	환상광조곡	1
英雄集結	영웅집결	1
苗床体質	모판 체질	1
濃厚精液	진한 정액	1
酒池肉林	주지육림	1
ゆかりん	유카링	1
